1,-0,0,0
2,0.00264113,-0.056498,0.350121
3,0.010674,-0.124637,0.619908
4,0.0183382,-0.159381,0.792466
5,0.0226178,-0.201271,0.937837
6,0.0268967,-0.219855,0.979565
7,0.0318958,-0.246343,1.07366
8,0.0387873,-0.264221,1.16296
9,0.0413168,-0.275699,1.20206
10,0.0459957,-0.276944,1.22479
11,0.0494306,-0.297213,1.30945
12,0.0512523,-0.310792,1.3487
13,0.0526988,-0.319405,1.40569
14,0.0556413,-0.335349,1.47746
15,0.0620198,-0.342189,1.54768
16,0.064945,-0.355317,1.61166
17,0.0562838,-0.373708,1.65726
18,0.0984545,-0.440569,2.03861
19,0.105582,-0.446974,2.09131
20,0.102207,-0.440995,2.05158
21,0.0862541,-0.406534,1.97101
22,0.0764504,-0.39612,1.91367
23,0.0352595,-0.354179,1.592
24,0.0206261,-0.35386,1.58228
25,0.00810116,-0.334867,1.53536
26,0.00732403,-0.358842,1.67338
27,-0.0115143,-0.324075,1.63914
28,-0.0131297,-0.325576,1.83983
29,-0.0106861,-0.363619,2.11194
30,-0.0124014,-0.357855,2.12982
31,-0.0199453,-0.358719,2.11185
32,-0.028592,-0.357071,2.13736
33,-0.0368236,-0.365448,2.17608
34,-0.0488861,-0.400492,2.19781
35,-0.068249,-0.420815,2.15894
36,-0.0907215,-0.412126,2.01369
37,-0.1122,-0.441355,1.97803
38,-0.129157,-0.450538,1.91874
39,-0.152195,-0.481996,1.89782
40,-0.178604,-0.515095,1.89659
41,-0.204726,-0.562109,1.95394
42,-0.228258,-0.603091,1.99473
43,-0.263621,-0.64154,2.01877
44,-0.308422,-0.698191,2.04408
45,-0.347076,-0.726266,2.031
46,-0.38934,-0.764844,2.06964
47,-0.438832,-0.812171,2.13316
48,-0.475235,-0.86534,2.21766
49,-0.517777,-0.922604,2.29963
50,-0.569846,-0.966488,2.29137
51,-0.602207,-0.980741,2.2175
52,-0.641035,-1.01602,2.25696
53,-0.683142,-1.05945,2.26973
54,-0.713796,-1.06937,2.23118
55,-0.747988,-1.08723,2.20923
56,-0.788786,-1.12747,2.23212
57,-0.823818,-1.14445,2.16866
58,-0.886832,-1.19388,2.1857
59,-0.919206,-1.20272,2.15543
60,-0.96462,-1.24076,2.17579
61,-1.04148,-1.33939,2.33749
62,-1.10762,-1.419,2.44439
63,-1.15607,-1.45425,2.46904
64,-1.17102,-1.48268,2.53254
65,-1.18824,-1.48457,2.52741
66,-1.20672,-1.50363,2.56164
67,-1.22682,-1.52902,2.60499
68,-1.26747,-1.55491,2.64967
69,-1.30312,-1.58621,2.70003
70,-1.31736,-1.60106,2.72378
71,-1.33251,-1.62646,2.77377
72,-1.34912,-1.64934,2.81224
73,-1.35822,-1.66641,2.85025
74,-1.36696,-1.67646,2.87502
75,-1.39115,-1.70134,2.91674
76,-1.40827,-1.72555,2.96981
77,-1.44077,-1.74313,3.00864
78,-1.45829,-1.75785,3.01927
79,-1.45958,-1.76825,3.0674
80,-1.46223,-1.77879,3.09123
81,-1.46581,-1.78203,3.11051
82,-1.47014,-1.78475,3.11859
83,-1.46821,-1.78987,3.12853
84,-1.4877,-1.80672,3.15505
85,-1.49098,-1.80924,3.16684
86,-1.49302,-1.80706,3.17571
87,-1.50876,-1.81489,3.19133
88,-1.51726,-1.81833,3.20848
89,-1.54359,-1.8384,3.24267
90,-1.53978,-1.8329,3.24647
91,-1.49515,-1.80576,3.22269
92,-1.50494,-1.79257,3.18146
93,-1.50088,-1.79036,3.17678
94,-1.53009,-1.79912,3.20549
95,-1.51471,-1.79329,3.18849
96,-1.51045,-1.79558,3.18573
97,-1.5011,-1.78977,3.17868
98,-1.49417,-1.79549,3.19116
99,-1.47824,-1.78922,3.20555
100,-1.51683,-1.82745,3.26882
101,-1.49578,-1.8332,3.2939
102,-1.50232,-1.84144,3.31388
103,-1.50452,-1.84232,3.30697
104,-1.49975,-1.83495,3.32138
105,-1.48355,-1.82736,3.32286
106,-1.48305,-1.83029,3.34028
107,-1.47931,-1.82819,3.3426
108,-1.47093,-1.82852,3.35606
109,-1.47366,-1.82623,3.35933
110,-1.47444,-1.82784,3.36613
111,-1.47649,-1.83208,3.38533
112,-1.47616,-1.8351,3.39444
113,-1.48433,-1.84012,3.405
114,-1.47446,-1.8335,3.39635
115,-1.47322,-1.83973,3.41248
116,-1.47651,-1.84666,3.42588
117,-1.47833,-1.85702,3.4538
118,-1.48448,-1.86646,3.47479
119,-1.50345,-1.87745,3.4688
120,-1.4501,-1.86662,3.50592
121,-1.47371,-1.88596,3.52803
122,-1.47928,-1.89824,3.56563
123,-1.49009,-1.91552,3.60381
124,-1.48875,-1.92315,3.62064
125,-1.48455,-1.9334,3.64419
126,-1.4716,-1.93946,3.67469
127,-1.47087,-1.95052,3.70792
128,-1.46052,-1.96049,3.7396
129,-1.44277,-1.96401,3.74931
130,-1.41563,-1.9608,3.74666
131,-1.41495,-1.96816,3.77608
132,-1.42169,-1.98261,3.80307
133,-1.44091,-1.99806,3.82869
134,-1.44296,-2.013,3.84601
135,-1.43981,-2.03177,3.88266
136,-1.45417,-2.04583,3.91171
137,-1.46217,-2.06512,3.9553
138,-1.44503,-2.07458,3.9879
139,-1.45351,-2.08963,4.01218
140,-1.45819,-2.10196,4.02608
141,-1.44854,-2.11288,4.03904
142,-1.42698,-2.11116,4.02955
143,-1.42147,-2.11907,4.03108
144,-1.42185,-2.12787,4.03399
145,-1.41394,-2.13189,4.04334
146,-1.42033,-2.1392,4.04641
147,-1.41811,-2.13808,4.03932
